nome	squadra	ruolo	qt	ia	fascia	note	valore	sos	prezzoMedioAste	prezzoStat	prezzoGolMax	fv	pg	media	fmedia	gol	assist	amm	golSubiti	accoppiata
Gilmour	Napoli	C	3	56.34		Subentrante		Affidabile	0.9	2.25	3.57	0.53	13	6.08	6.27	1	0	1		Roma Bologna Frosinone
Ordonez C.	Parma	C	3	56.34		Inaffidabile		Cartellini	1.3	2.2	3.57	0.52	21	5.79	5.81	1	0	3		Lecce Sassuolo Milan
Diallo O.	Parma	C	3	56.34		Scommessa		Subentrante	1.1	Prezzo N.D.										Lecce Sassuolo Milan
Aboukhlal	Torino	C	3	56.34		Inaffidabile			1.2	1.98	0	0.47	11	5.77	5.64	0	0	4		Juventus Lazio Lecce
Helgason	Venezia	C	3	56.34		Scommessa			1.4	1.86	0	0.44	4	5.62	5.62	0	0	0		Cagliari Monza Bologna
Gagliardini	Cagliari	C	3	56.34		Inaffidabile			0.5	Prezzo N.D.										Atalanta Fiorentina Venezia
El Azzouzi O.	Bologna	C	2	49.12					1.15	Prezzo N.D.										Atalanta Lecce Napoli
Fadera	Cagliari	C	2	49.12		Scommessa	Scomm.	Bonus	1.3	1.45	7.13	0.59	24	5.92	6.15	2	1	5		Atalanta Fiorentina Venezia
Hasa	Frosinone	C	2	49.12					1	Prezzo N.D.										Atalanta Como Napoli
Venturino	Genoa	C	2	49.12		Subentrante		Bonus	1.15	1.15	0	0.47	7	5.86	5.86	0	0	0		Juventus Bologna Como
Belahyane	Lazio	C	2	49.12		Affidabile		Cartellini	0.8	1.15	0	0.47	11	5.77	5.82	0	2	1		Roma Fiorentina Torino
Ciurria	Monza	C	2	49.12		Bonus		Subentrante	1.15	Prezzo N.D.										Lecce Venezia Atalanta
Cremaschi	Parma	C	2	49.12					0.9	1.1	0	0.45	1	6	6	0	0	0		Lecce Sassuolo Milan
Boloca	Sassuolo	C	2	49.12		Affidabile			1	1.07	0	0.44	2	5.75	5.75	0	0	0		Inter Parma Bologna
Lipani	Sassuolo	C	2	49.12					1.15	1.33	0	0.54	21	5.93	5.9	0	1	3		Inter Parma Bologna
Zarraga	Udinese	C	2	49.12					0.9	1.16	0	0.47	10	5.75	5.7	0	0	2		Genoa Lecce Milan
Chakvetadze	Udinese	C	2	49.12		Scommessa			1.05	Prezzo N.D.										Genoa Lecce Milan
Duncan	Venezia	C	2	49.12		Inaffidabile			1.15	Prezzo N.D.										Cagliari Monza Bologna
Forson O.	Monza	C	2	49.12		Scommessa		Bonus	1.1	Prezzo N.D.										Lecce Venezia Atalanta
Foe Ondoa	Monza	C	2	49.12		Scommessa			0.9	Prezzo N.D.										Lecce Venezia Atalanta
Jovanovic	Udinese	C	2	49.12					0.5	Prezzo N.D.										Genoa Lecce Milan
Liteta	Cagliari	C	1	35.69					1	0.4	0	0.45	4	5.75	5.75	0	0	0		Atalanta Fiorentina Venezia
Lahdo	Como	C	1	35.69					0.95	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Fiorentina Frosinone Genoa
El Azzouzi A.	Frosinone	C	1	35.69		Cartellini			0.9	Prezzo N.D.										Atalanta Como Napoli
Kone B.	Frosinone	C	1	35.69					0.95	Prezzo N.D.										Atalanta Como Napoli
Przyborek	Lazio	C	1	35.69			Top		0.9	Prezzo N.D.	0	0. N.D.	0	0	0	0	0	0		Roma Fiorentina Torino
Kaba	Lecce	C	1	35.69		Inaffidabile			0.9	0.43	0	0.48	11	5.77	5.73	0	0	1		Parma Bologna Fiorentina
Fofana Sa.	Lecce	C	1	35.69					0.85	0.38	0	0.42	2	5.5	5.5	0	0	0		Parma Bologna Fiorentina
Ilic	Lecce	C	1	35.69		Affidabile	Titolare	Infortuni	1.15	0.42	0	0.47	8	6	5.88	0	0	2		Parma Bologna Fiorentina
Anjorin	Torino	C	1	35.69					0.85	0.42	0	0.47	9	5.78	5.72	0	0	1		Juventus Lazio Lecce
Dagasso	Venezia	C	1	35.69					0.9	Prezzo N.D.										Cagliari Monza Bologna
Laerke	Lecce	C	1	35.69		Scommessa			0.95	Prezzo N.D.										Parma Bologna Fiorentina
Comotto	Milan	C	1	35.69					1.65	Prezzo N.D.										Inter Parma Cagliari
Mout	Monza	C	1	35.69		Inaffidabile	Titolare		1.05	Prezzo N.D.										Lecce Venezia Atalanta
Ciervo	Cagliari	C	1	35.69					1.1	Prezzo N.D.										Atalanta Fiorentina Venezia
Malen	Roma	A	38	93.48		Bonus	Top	Affidabile	204.85	145.98	97.78	0.82	18	6.72	8.97	14	2	1		Lazio Napoli Juventus
Martinez L.	Inter	A	33	90.42		Titolare	Top	Bonus	187	126.56	118.73	0.85	30	6.42	8.25	17	6	4		Milan Sassuolo Juventus
Thuram	Inter	A	28	87.36		Affidabile	Top	Titolare	129.15	98.08	90.79	0.8	29	6.43	7.95	13	6	2		Milan Sassuolo Juventus
Hojlund	Napoli	A	28	87.36		Titolare	Semi-Top	Affidabile	143.45	103.18	83.81	0.84	33	6.21	7.44	12	5	1		Roma Bologna Frosinone
Ramos G.	Milan	A	27	86.94		Titolare	Top	Bonus	158.1											Inter Parma Cagliari
Kolo Muani	Juventus	A	25	85.5		Affidabile	Top	Bonus	128.55											Torino Genoa Roma
Kean	Como	A	24	84.96		Bonus	Scomm.	Infortuni	100	70.7	55.87	0.69	26	5.88	6.77	8	1	4		Fiorentina Frosinone Genoa
Woltemade	Juventus	A	23	84.18		Scommessa	Scomm.	Bonus	67.65											Torino Genoa Roma
Douvikas	Como	A	22	83.6		Scommessa	Semi-Top	Bonus	77.6	79.52	97.78	0.86	36	6.18	7.38	14	1	0		Fiorentina Frosinone Genoa
Yildiz	Juventus	A	22	83.6		Affidabile	Scomm.	Titolare	44.7	76.52	69.84	0.83	35	6.39	7.3	10	6	2		Torino Genoa Roma
Scamacca	Atalanta	A	19	81.51		Infortuni	Terza	Bonus	73.35	56.94	69.84	0.74	22	6.18	7.55	10	1	2		Frosinone, Bologna Cagliari
Berardi	Sassuolo	A	19	81.51		Titolare	Terza	Infortuni	50.2	55.77	55.87	0.72	26	6.31	7.19	8	4	2		Inter Parma Bologna
Davis K.	Udinese	A	19	81.51		Infortuni	Semi-Top	Bonus	69	60.05	69.84	0.78	30	6.32	7.37	10	4	5		Genoa Lecce Milan
Krstovic	Atalanta	A	18	80.64		Bonus	Scomm.	Subentrante	52.15	53.62	69.84	0.74	32	6.16	7.19	10	5	4		Frosinone, Bologna Cagliari
De Ketelaere	Atalanta	A	17	79.9		Bonus	Terza	Affidabile	41.25	43.41	20.95	0.64	31	6.21	6.6	3	5	4		Frosinone, Bologna Cagliari
Esposito F.P.	Inter	A	17	79.9		Subentrante	Scomm.	Scommessa	68.6	47.88	48.89	0.71	31	6.26	7.02	7	3	1		Milan Sassuolo Juventus
Dybala	Roma	A	16	79.2		Calci Piazzati	Semi-Top	Infortuni	69	42.17	13.97	0.67	21	6.26	6.74	2	7	0		Lazio Napoli Juventus
Dovbyk	Bologna	A	15	78.3		Bonus	Scomm.	Infortuni	34.75	31.99	20.95	0.54	13	6	6.77	3	1	0		Atalanta Lecce Napoli
Laurientè	Sassuolo	A	15	78.3		Bonus	Terza	Titolare	33.2	44.02	48.89	0.75	37	6.23	6.99	7	9	4		Inter Parma Bologna
Beto	Fiorentina	A	14	77.42		Scommessa	Terza	Bonus	38.5											Cagliari Como Lazio
Raspadori	Atalanta	A	14	77.42		Affidabile	Terza	Bonus	35	29.86	20.95	0.55	13	6.12	6.88	3	1	0		Frosinone, Bologna Cagliari
Santos A.	Napoli	A	14	77.42		Bonus	Terza	Affidabile	32	30.67	27.94	0.57	13	6.35	7.23	4	0	1		Roma Bologna Frosinone
Pellegrino M.	Fiorentina	A	14	77.42		Bonus	Scomm.		32.1	40.75	62.86	0.75	37	5.99	6.65	9	0	5		Cagliari Como Lazio
Castro S.	Roma	A	14	77.42		Subentrante	Scomm.	Bonus	24.65	36.9	48.89	0.68	35	5.93	6.51	7	1	3		Lazio Napoli Juventus
Simeone	Torino	A	14	77.42		Bonus	Semi-Top	Titolare	56.7	39.93	76.83	0.74	32	6.08	7.09	11	0	1		Juventus Lazio Lecce
Soulè	Roma	A	13	76.44		Affidabile	Scomm.	Bonus	17.9	34.83	41.9	0.7	32	6.12	6.83	6	5	1		Lazio Napoli Juventus
Esposito Se.	Sassuolo	A	12	75.48		Affidabile	Scomm.	Scommessa	20.35	34.08	48.89	0.75	36	6.26	6.88	7	4	6		Inter Parma Bologna
Diao	Como	A	12	75.48		Infortuni	Terza	Bonus	23.15	23.89	13.97	0.53	16	6	6.38	2	1	2		Fiorentina Frosinone Genoa
Pinamonti	Lazio	A	12	75.48		Inaffidabile	Terza	Bonus	52.1	33.63	62.86	0.74	34	5.88	6.62	9	3	2		Roma Fiorentina Torino
Kevin Carlos	Cagliari	A	12	75.48		Scommessa	Scomm.		5.9											Atalanta Fiorentina Venezia
Colombo	Genoa	A	11	74.47		Rigorista	Terza	Titolare	29.65	30.52	48.89	0.75	37	5.92	6.41	7	1	2		Juventus Bologna Como
Adams A.	Venezia	A	11	74.47		Scommessa	Quarta		16.15											Cagliari Monza Bologna
Adams C.	Torino	A	10	73.3		Bonus	Quarta	Scommessa	7.5	25.2	41.9	0.69	32	5.98	6.64	6	3	0		Juventus Lazio Lecce
Tourè E.	Parma	A	10	73.3		Scommessa	Quarta	Infortuni	11.9											Lecce Sassuolo Milan
Romero D.	Parma	A	10	73.3		Scommessa	Quarta		7.65											Lecce Sassuolo Milan
Raimondo	Frosinone	A	9	72		Scommessa	Quarta		7.25	13.71	0	0.42	1	6	6	0	0	0		Atalanta Como Napoli
Cutrone	Monza	A	9	72		Scommessa	Scomm.	Affidabile	4.4	15.97	6.98	0.49	14	5.71	5.93	1	0	0		Lecce Venezia Atalanta
Bowie	Sassuolo	A	9	72		Scommessa	Terza	Bonus	10.25	17.8	27.94	0.55	14	5.96	6.79	4	0	1		Inter Parma Bologna
Yeboah J.	Venezia	A	9	72		Affidabile	Quarta	Bonus	8.3											Cagliari Monza Bologna
Bobcek	Frosinone	A	9	72		Scommessa	Scomm.		1.95											Atalanta Como Napoli
Piccoli	Bologna	A	8	70.48		Scommessa	Quarta	Subentrante	13.7	17.06	27.94	0.61	27	5.78	6.24	4	1	1		Atalanta Lecce Napoli
Ghedjemis	Frosinone	A	8	70.48		Bonus	Quarta		2.95											Atalanta Como Napoli
Vitinha O.	Genoa	A	8	70.48		Titolare	Scomm.		7.2	17.52	34.92	0.62	31	5.95	6.39	5	1	5		Juventus Bologna Como
Geubbels	Lecce	A	8	70.48		Scommessa	Quarta	Rigorista	6.1											Parma Bologna Fiorentina
Osmajic	Genoa	A	8	70.48		Subentrante		Scommessa	1.45											Juventus Bologna Como
Bonny	Inter	A	7	68.81		Affidabile	Scomm.	Bonus	10.45	15.86	34.92	0.66	27	6.15	6.83	5	4	1		Milan Sassuolo Juventus
Boga	Juventus	A	7	68.81		Scommessa	Scomm.	Subentrante	8.5	13.6	27.94	0.56	13	6.19	7.15	4	1	1		Torino Genoa Roma
Varela G.	Monza	A	7	68.81		Scommessa	Quarta	Bonus	11.45											Lecce Venezia Atalanta
Rrahmani Al.	Venezia	A	7	68.81		Scommessa	Scomm.		1.15											Cagliari Monza Bologna
Gnonto	Fiorentina	A	7						2.05											Cagliari Como Lazio
Sulemana K.	Atalanta	A	6	66.78		Scommessa		Subentrante	1.15	10.78	13.97	0.54	21	6	6.24	2	1	4		Frosinone, Bologna Cagliari
Kvernadze	Frosinone	A	6	66.78		Scommessa	Quarta	Bonus	3.95											Atalanta Como Napoli
Noslin	Lazio	A	6	66.78		Subentrante	Scomm.		1.3	11.2	27.94	0.56	23	6.02	6.5	4	2	4		Roma Fiorentina Torino
Stulic	Lecce	A	6	66.78		Inaffidabile			1.4	13.25	27.94	0.66	30	5.73	6.12	4	0	1		Parma Bologna Fiorentina
Neres	Napoli	A	6	66.78		Bonus	Scomm.	Affidabile	5.45	11.22	20.95	0.56	16	6.19	6.84	3	3	3		Roma Bologna Frosinone
Zapata D.	Torino	A	6	66.78		Affidabile	Scomm.	Infortuni	1.7	12.57	20.95	0.63	23	5.83	6.13	3	1	0		Juventus Lazio Lecce
Zeballos	Monza	A	6						1.9											Lecce Venezia Atalanta
Maldini	Cagliari	A	5	64.25		Bonus	Quarta	Infortuni	7.85	8.69	13.97	0.54	18	5.94	6.31	2	1	1		Atalanta Fiorentina Venezia
Birligea	Frosinone	A	5						1.05											Atalanta Como Napoli
Ngonge	Monza	A	5						1.6											Lecce Venezia Atalanta
Borrelli	Cagliari	A	4	60.96		Subentrante			1.1	7.34	34.92	0.6	26	5.92	6.46	5	1	4		Atalanta Fiorentina Venezia
Mendy P.	Cagliari	A	4	60.96		Affidabile	Scomm.		2	5.97	13.97	0.49	8	5.94	6.62	2	0	1		Atalanta Fiorentina Venezia
Havel	Genoa	A	4	60.96		Scommessa		Subentrante	1.05											Juventus Bologna Como
N'Dri	Lecce	A	4	60.96		Scommessa	Scomm.		1.35	6.2	13.97	0.51	17	5.82	6.09	2	0	3		Parma Bologna Fiorentina
Camarda	Milan	A	4	60.96		Subentrante			1.85	6.71	6.98	0.55	18	5.67	5.64	1	0	1		Inter Parma Cagliari
Mota	Monza	A	4	60.96		Affidabile	Scomm.		1.65											Lecce Venezia Atalanta
Giovane	Napoli	A	4	60.96		Scommessa		Affidabile	1.15	7.89	20.95	0.65	31	6	6.45	3	6	2		Roma Bologna Frosinone
Lang	Napoli	A	4	60.96		Scommessa	Scomm.		1.95	6.22	6.98	0.51	14	6.04	6.32	1	2	2		Roma Bologna Frosinone
Lucca	Napoli	A	4	60.96		Scommessa		Subentrante	2.6	5.64	6.98	0.46	9	5.72	6	1	0	1		Roma Bologna Frosinone
Frigan	Parma	A	4	60.96		Infortuni			1.1		0	0. N.D.	0	0	0	0	0	0		Lecce Sassuolo Milan
Kulenovic	Torino	A	4	60.96		Scommessa		Subentrante	1	5.29	0	0.43	7	5.71	5.79	0	1	2		Juventus Lazio Lecce
Gueye	Udinese	A	4	60.96					1.1	5.81	6.98	0.48	13	5.77	5.92	1	0	2		Genoa Lecce Milan
Adorante	Venezia	A	4	60.96		Scommessa		Subentrante	1.15											Cagliari Monza Bologna
Robinson J.	Monza	A	4	60.96		Subentrante			1.15											Lecce Venezia Atalanta
Milik	Juventus	A	4	60.96		Infortuni			1.15											Torino Genoa Roma
Fatah	Lecce	A	4						1.05											Parma Bologna Fiorentina
Nzola	Cagliari	A	4						1.95											Atalanta Fiorentina Venezia
Ekhator	Juventus	A	3	56.34		Subentrante		Scommessa	1.2	4.83	20.95	0.57	25	5.96	6.28	3	0	3		Torino Genoa Roma
Elphege	Parma	A	3	56.34		Subentrante			1.5	4.3	13.97	0.51	8	6	6.88	2	1	0		Lecce Sassuolo Milan
Lontani	Parma	A	3						1.5											Lecce Sassuolo Milan
Trepy	Cagliari	A	1	35.69		Scommessa			0.95	0.74	0	0.42	3	5.67	5.67	0	0	0		Atalanta Fiorentina Venezia
Bayo V.	Udinese	A	1	35.69		Scommessa		Subentrante	0.95	0.85	0	0.48	12	5.75	5.83	0	1	0		Genoa Lecce Milan
Lisman	Venezia	A	1	35.69					0.9											Cagliari Monza Bologna
Lauberbach	Venezia	A	1	35.69					0.9											Cagliari Monza Bologna
De Martis	Parma	A	1						0.9											Lecce Sassuolo Milan
Robinho Junior	Genoa	A	1						0											Juventus Bologna Como
